soil_type,rainfall_mm,temp_high_c,temp_low_c,humidity_percent,sunlight_hours,wind_speed_kmph,temp_avg_c,recommended_crop
Clayey,323,28.4,20.9,63.7,9.9,16.8,24.6,Groundnut
Alluvial,213,20.3,24.8,84.9,4.3,15.7,22.6,Wheat
Peaty,305.1,27.3,22.8,46.8,10.4,2.2,25,Barley
Black,138.1,25.5,13.3,30.6,10.2,15.5,19.4,Sugarcane
Sandy,215.5,30.1,20.7,32.6,9.4,16.6,25.4,Mustard
Loamy,345.6,26.7,23.2,66.9,4.8,19,25,Bajra
Loamy,197.4,34.5,19.3,48.5,12,29.2,26.9,Maize
Saline,156.7,30.2,13.5,30.9,10.1,29.5,21.8,Mustard
Saline,223.7,22.6,6.3,40.5,9.9,16.8,14.4,Chana
Loamy,292.6,35,21.2,57.1,4.5,25.7,28.1,Barley
Black,188.6,22,24.1,28.5,7.2,4.4,23,Cotton
Calcareous,376.8,36.8,12.2,20.2,4.7,16.9,24.5,Bajra
Laterite,132.1,38.6,8,84.2,6.9,21,23.3,Rice
Sandy,200.7,26.4,11.5,41.3,8.6,17.8,19,Soybean
Calcareous,307.6,38.5,16.7,35.5,11,8.5,27.6,Sesame
Alluvial,281.9,35.9,11.3,68.9,6.3,3.8,23.6,Wheat
Laterite,348.2,38.4,17.2,79.7,9,12.8,27.8,Rice
Laterite,398.8,33.3,24.3,64.3,5.3,20.1,28.8,Tur
Peaty,182.2,24.7,18.4,37.8,6.8,29.8,21.5,Sugarcane
Black,62.2,37.9,12.3,80.3,11.6,8.6,25.1,Barley
Black,31.6,23.7,23.7,55.7,10,27.7,23.7,Groundnut
Laterite,296.2,24.3,16.3,46.7,8.4,3.9,20.3,Bajra
Peaty,352.1,25.4,7.6,62.3,6,28.1,16.5,Groundnut
Sandy,103.9,26.1,15,69,7,25.3,20.6,Tur
Laterite,80.2,30.3,18.1,61.6,5.3,2.6,24.2,Barley
Red,43.6,34.3,21.8,84.4,6.8,10.3,28,Sesame
Saline,332.6,38.5,23.7,64,5.2,3.4,31.1,Tur
Saline,138.3,21.8,11.3,81.5,10.4,29.9,16.6,Sesame
Calcareous,172.6,39.1,8.1,61.1,4.6,14,23.6,Tur
Alluvial,211,38.4,6.5,43.1,5.5,20.5,22.4,Wheat
Saline,339,21.1,19.8,57.3,9.5,8.6,20.5,Mustard
Clayey,267.3,27.2,20.9,26,11.2,28.1,24,Groundnut
Calcareous,253.7,36.3,13.2,36.1,11.7,9.7,24.8,Barley
Saline,86.8,32.2,12.9,73.6,10.7,9.3,22.6,Soybean
Alluvial,215,35.6,24.1,66.3,5.7,10.8,29.8,Wheat
Black,291.8,34.4,23.3,31.7,6.3,14.9,28.8,Cotton
Black,389.8,29.9,9.7,50.7,11,2.5,19.8,Rice
Sandy,96.5,20.8,20.6,29.9,11.1,18.7,20.7,Groundnut
Laterite,23.6,31.7,17.5,79.9,9.1,2.9,24.6,Tur
Red,48.6,21,8.1,27.6,6.5,17.1,14.6,Soybean
Black,162.8,32.1,12.1,65.8,5.8,14.8,22.1,Bajra
Peaty,331.8,36,8.5,62.5,10.8,8.8,22.2,Chana
Saline,22.7,31.7,10.9,53.1,5.6,11.2,21.3,Wheat
Peaty,193.6,39.9,17.3,39.5,9.3,21.8,28.6,Chana
Alluvial,145.1,29.1,12.5,48.3,11.7,2.3,20.8,Wheat
Black,39.9,35,12.9,76.4,9.6,10.9,24,Cotton
Red,191.1,33.3,15.8,73.3,6.1,21,24.5,Groundnut
Alluvial,116.8,39.8,6.7,71.7,6.3,6.3,23.2,Wheat
Clayey,153.7,34.3,19.8,72.5,4.7,17.7,27,Chana
Clayey,288.1,23.3,13,30.1,9.5,6.7,18.2,Groundnut
Peaty,218.2,39.1,14.6,26.9,8.1,6.3,26.8,Tur
Laterite,67.4,33.4,24.5,80.3,5.7,23.6,29,Maize
Calcareous,385.3,21.2,11.9,78.6,5.8,9.5,16.6,Sugarcane
Laterite,261.6,33.2,18,67.7,4.1,12.5,25.6,Rice
Sandy,311,37.7,12.9,62.4,11.8,22.4,25.3,Groundnut
Laterite,50.1,31.5,22.9,45.7,10.6,7,27.2,Wheat
Sandy,37.9,27.1,21.9,35.7,7.2,16.9,24.5,Maize
Sandy,27.4,36.4,9.8,66.7,11.6,27.7,23.1,Mustard
Red,91.7,35.7,18.8,83.9,9.4,17.5,27.2,Groundnut
Black,177.5,30.9,6.3,50.6,10,3.4,18.6,Maize
Red,375.6,23.1,24.3,41.2,9.4,18.5,23.7,Cotton
Sandy,193.7,25,12,39,10.1,4.5,18.5,Maize
Alluvial,130.3,34.8,21.6,21.7,5.4,9.9,28.2,Wheat
Clayey,233.5,36.1,11.4,56.4,8.5,25.8,23.8,Cotton
Sandy,62.5,25.6,17.7,89.2,10.8,2.3,21.6,Rice
Red,251.6,27.4,24.7,77.1,4.2,4.2,26,Rice
Alluvial,236,21.6,22.5,82.8,5,12.2,22,Wheat
Red,321,34.3,8.2,63.5,6,30,21.2,Bajra
Laterite,394.9,20.1,15.9,53.7,6.4,10.2,18,Bajra
Saline,115.3,20.9,12,89.3,5.5,6.4,16.4,Tur
Peaty,213.7,20.1,13.7,51.3,9,17.4,16.9,Rice
Calcareous,365.4,32.9,11.7,84.2,6.4,16.5,22.3,Cotton
Red,318.4,28.3,11.7,73.3,5.3,14.6,20,Barley
Calcareous,205.2,26,15.9,43.2,11.2,28.5,21,Rice
Loamy,379.2,38.3,8.8,55.2,9.6,9.8,23.5,Barley
Red,41.7,23.9,15.7,46.9,6,10.2,19.8,Chana
Saline,373.8,27.8,10.6,29.5,6.9,5.9,19.2,Sesame
Calcareous,39.2,38.8,10.8,45,9.9,21.5,24.8,Groundnut
Sandy,228,28.5,19.8,82.2,10.3,11,24.2,Soybean
Red,358.4,31.1,5.6,72.7,5.4,24.5,18.4,Groundnut
Black,119.8,21.6,12.6,39.4,11.5,29.2,17.1,Mustard
Peaty,199.5,35.8,13.2,45.8,10.3,3.2,24.5,Mustard
Saline,143.2,28.5,14.7,63.2,10.9,29.8,21.6,Tur
Calcareous,381.8,36,18.4,49.1,5.2,9.1,27.2,Soybean
Saline,333,25.1,12.4,55.2,5.1,13.8,18.8,Tur
Alluvial,289.4,28.4,9.3,68.9,6.4,23.8,18.8,Mustard
Peaty,243.3,35.7,22.7,52.7,4.5,20.6,29.2,Chana
Sandy,331.8,39.5,24.6,33.4,4.7,23.8,32,Soybean
Red,169.1,21.2,5.4,56.4,5.1,15.1,13.3,Soybean
Red,190.1,36.2,15.9,44.9,9.7,27.6,26,Groundnut
Red,297.4,26,11.8,40.4,4.2,24.1,18.9,Wheat
Peaty,155.9,31,10.5,43,4.7,10.7,20.8,Mustard
Black,44.3,25.8,11.7,50.7,11.6,28.6,18.8,Maize
Loamy,48.2,32.3,17.8,82.1,4.7,28.9,25,Soybean
Clayey,63.8,27.1,8.8,71.4,8.3,13.6,18,Cotton
Laterite,350.5,26.7,23.3,66.8,9.1,20.3,25,Cotton
Calcareous,199.4,20.8,14.3,53,11.7,24.8,17.6,Wheat
Black,290.9,22.9,11.5,20.1,11.2,24.9,17.2,Chana
Sandy,169.3,38.3,20.3,43.8,7.5,2.4,29.3,Chana
Calcareous,118.3,40,5.3,76.9,11.5,19.6,22.6,Chana
Red,151.9,35.6,13.6,47.2,7.5,29.3,24.6,Groundnut
Saline,321.8,25.7,12.1,59.5,9.4,8.5,18.9,Mustard
Sandy,257.6,28,11.8,34.3,6.1,24.3,19.9,Soybean
Calcareous,376.3,34.8,11.7,84.1,9.1,17,23.2,Sugarcane
Red,278.3,39.4,5.6,84.6,8.3,8.2,22.5,Groundnut
Calcareous,236.7,29.1,8,30.2,8.9,3.4,18.6,Chana
Saline,251.9,36.6,7.8,70.7,9.5,23.3,22.2,Rice
Red,378.1,39.5,24.8,25.3,5.4,10.9,32.2,Sugarcane
Loamy,319.5,37.5,5.4,61.9,6.4,12.5,21.4,Soybean
Black,29.1,24.5,8.3,32.5,9.9,15.6,16.4,Soybean
Alluvial,223,20.2,24.5,30.2,5.3,16.2,22.4,Wheat
Laterite,281.6,29.8,17.6,20.3,6.8,7.8,23.7,Barley
Peaty,304.5,30.6,14,85.9,9.3,20.8,22.3,Cotton
Laterite,101,24,6.6,78,11.5,21.4,15.3,Sesame
Sandy,349.5,25.7,18.4,25.4,4.6,6,22,Rice
Laterite,383.2,35.3,7.8,62,8.1,16.9,21.5,Bajra
Red,110,29.4,18.4,36.3,4.7,19.1,23.9,Groundnut
Loamy,355.4,26.3,24.6,38.5,7,7.2,25.5,Soybean
Alluvial,56.9,32.5,15.6,81.2,5.4,27,24,Sesame
Black,41.2,33.1,9.3,28,9.2,15.5,21.2,Groundnut
Black,69.1,35.4,17.5,62.1,10.1,5.2,26.4,Tur
Saline,41.9,23.1,15.3,48.1,6,11.4,19.2,Soybean
Peaty,341.1,34.8,15.7,33.4,9.7,15.4,25.2,Tur
Calcareous,42.4,32,14.6,51.6,7.6,2.3,23.3,Sugarcane
Loamy,123.2,21.2,18.5,85.8,6.3,2.9,19.8,Cotton
Calcareous,59.4,35.5,16.4,74.7,8.2,3.6,26,Rice
Alluvial,132.3,27.7,24.7,29.2,7,17.1,26.2,Wheat
Laterite,54.4,26.6,21.5,79.5,5.8,11.4,24,Cotton
Black,273.8,29,10.3,85.6,10.1,27,19.6,Groundnut
Alluvial,70.7,26.9,19.5,39.4,10.4,17.7,23.2,Groundnut
Laterite,343.7,26.8,9.3,43.3,10.4,23.3,18,Wheat
Black,330.5,36.2,20.6,28.8,7.1,21.2,28.4,Cotton
Laterite,25.2,22.5,8,44.1,5.4,16.6,15.2,Sesame
Peaty,360.4,39.4,14.5,67.1,10.7,22.9,27,Cotton
Loamy,31,31.1,20.8,39.1,6.6,17.3,26,Bajra
Sandy,111.1,23.7,10.6,20.5,10,12.8,17.2,Bajra
Alluvial,32.3,22.6,21.7,43.7,10.5,14.2,22.2,Soybean
Alluvial,147.6,31.8,17.9,51.7,10.1,25.5,24.8,Wheat
Clayey,215.3,32.7,13,59.6,7.1,17.8,22.8,Tur
Red,322.7,21.1,13.5,67.9,11.5,12.6,17.3,Chana
Peaty,148.4,24.9,23.5,24.3,9.3,7,24.2,Barley
Peaty,288.1,35.9,9.4,52.9,8.6,15.9,22.6,Barley
Calcareous,91.3,21,18.9,38.6,9.6,9.1,20,Rice
Laterite,305.2,37.1,19.1,86.4,4.4,28.8,28.1,Rice
Red,109.7,33.2,23.4,45.2,7.1,15.7,28.3,Groundnut
Loamy,74.5,28.7,19.3,27,11,2.3,24,Groundnut
Loamy,90.5,26.9,16.7,22.9,5.3,4.6,21.8,Sesame
Peaty,89.2,20.4,23.1,38.6,7.3,10,21.8,Barley
Loamy,214.9,36.5,21.6,32.5,7.2,4.6,29,Maize
Clayey,341,22.9,19.3,65.5,6.8,27,21.1,Maize
Alluvial,50.2,26.2,5.7,79.3,8.5,25.9,16,Tur
Saline,288.6,31.4,12.5,41.9,12,29.2,22,Bajra
Sandy,268.7,24.9,17.6,60.4,6,21.8,21.2,Wheat
Calcareous,351.6,29.9,15.4,71.1,9.6,20.1,22.6,Barley
Laterite,112.8,36.2,11.4,47.9,10.1,27.9,23.8,Groundnut
Sandy,191,29.4,7.9,24.6,8.7,28.5,18.6,Barley
Laterite,371.8,39,16.1,36,4.8,26.6,27.6,Sesame
Black,270.8,37,10.7,81.8,8.6,26.1,23.8,Sesame
Sandy,167.7,26.7,9.7,77.7,11.6,20.8,18.2,Bajra
Saline,69.9,28,13,26.1,6.7,2,20.5,Mustard
Peaty,119.7,28.5,20.7,35.7,9.1,14,24.6,Chana
Clayey,240.9,32.5,14.8,73.8,11.7,19.8,23.6,Sugarcane
Alluvial,292.9,25.7,9.3,54,10.4,17.3,17.5,Chana
Alluvial,67.3,39.4,7.3,73.2,9.5,25,23.3,Soybean
Clayey,247.8,32.2,15,34.8,11.8,24.9,23.6,Soybean
Red,229.1,28,20.9,86.7,5.4,18.8,24.4,Groundnut
Black,215.3,32.9,18.1,74.9,10.2,2.6,25.5,Cotton
Laterite,282.2,27.9,9.6,33.8,7.3,12.3,18.8,Soybean
Saline,338.2,36.4,13.7,59.1,6.9,8.4,25,Barley
Loamy,142.7,31.4,22.1,27.9,8.2,11.5,26.8,Maize
Sandy,357.8,20.8,8.6,45.3,4.3,19.3,14.7,Sugarcane
Black,81,23.5,15.6,66.2,6.5,3.9,19.6,Maize
Sandy,85.7,37.3,12.1,43.1,5.3,2.6,24.7,Groundnut
Saline,121.4,31.3,7.5,66,5.1,14.2,19.4,Groundnut
Calcareous,65.4,39,6,37.1,6.7,24.2,22.5,Sugarcane
Calcareous,107.5,21.4,16.1,70.5,10.4,2.9,18.8,Barley
Black,60.4,25.9,5.4,45.2,5.6,25.8,15.6,Tur
Peaty,332.3,23.9,7.1,75.3,8.3,12.7,15.5,Wheat
Saline,72.8,31.1,12,29.6,10,5.3,21.6,Mustard
Saline,304,27.7,5.9,45.3,5.9,17.9,16.8,Tur
Clayey,38.2,23.1,13,52.5,11.4,28.7,18,Rice
Peaty,380.4,32.9,7.6,49.7,10.9,17.2,20.2,Mustard
Laterite,290.2,30.7,12,50.3,6,21.2,21.4,Wheat
Laterite,22.6,25.5,20.8,51.1,11.9,24.9,23.2,Groundnut
Loamy,310.3,29.6,17.5,89.2,9.4,24.4,23.6,Maize
Alluvial,215.4,34.9,13.9,33.5,6.3,4,24.4,Wheat
Calcareous,316.2,24.1,6.8,73.8,9.4,22.7,15.4,Rice
Laterite,218.5,25.9,17.4,58.6,9.3,28.6,21.6,Mustard
Peaty,263.6,26.9,8.3,49,8.8,21.6,17.6,Sugarcane
Saline,318.8,34.9,6.5,64.3,9.7,25.4,20.7,Bajra
Laterite,173.9,36.9,18.3,79.7,6.1,15.6,27.6,Rice
Saline,21,27.5,23.2,52.7,11.8,10.9,25.4,Soybean
Laterite,343,25.9,14.2,80.5,10.9,20.9,20,Rice
Calcareous,164.7,37.8,5.8,26.6,10,15.8,21.8,Tur
Sandy,208.5,40,22.6,65.7,4.2,27.1,31.3,Cotton
Laterite,23,33.4,6.3,43.3,8.7,29.3,19.8,Bajra
Peaty,207,39.8,22.4,47.1,9.7,25,31.1,Soybean
Laterite,394.9,33.2,12.8,60,10.8,29.8,23,Maize
Alluvial,125.7,34.7,12.3,53.6,11.6,11.8,23.5,Wheat
Calcareous,170.3,27.8,15.9,46.7,11.3,27.1,21.8,Tur
Peaty,281.1,28.7,24.1,41.6,7.2,11.2,26.4,Sugarcane
Clayey,329.6,22.9,23,63.3,11.2,5.3,23,Mustard
Peaty,178.6,36.5,14.4,55.4,4,19.4,25.4,Tur
Alluvial,137.7,38.6,18.9,42.6,6.8,14.7,28.8,Wheat
Sandy,376.4,32.5,16.6,34.3,4.9,27.8,24.6,Sugarcane
Calcareous,277.3,26.9,18.9,74.2,11.1,15.8,22.9,Rice
Clayey,65.2,23.1,21.6,76,11.4,28,22.4,Bajra
Alluvial,46.2,25.3,5.7,35,6,4.2,15.5,Sesame
Alluvial,203.7,25.1,11.5,38.3,6.9,25.3,18.3,Soybean
Black,103.6,32.3,24.2,36.7,11.9,23.3,28.2,Sugarcane
Calcareous,116.5,38.9,24,81.9,8.5,22.2,31.4,Soybean
Peaty,353.5,21,5.2,74.2,8,11.9,13.1,Soybean
Saline,54,20,9,25.2,8,23.9,14.5,Wheat
Sandy,291.8,32,24.9,78.3,9.6,15.5,28.4,Maize
Saline,123,25.7,14.9,22.6,11.6,22,20.3,Rice
Peaty,308.9,37.6,16.5,37.7,6.9,17.5,27,Maize
Peaty,294.5,26.5,8.3,84.3,5.4,6.4,17.4,Maize
Calcareous,22.8,25.8,22.9,80.5,5.5,3.8,24.4,Maize
Peaty,213.5,25.4,9.6,74.7,4.2,12.3,17.5,Mustard
Black,72.9,22.9,8.8,52,8.4,28.1,15.8,Rice
Clayey,349.2,31.6,9.6,42.5,11.4,16.8,20.6,Soybean
Peaty,351.2,23.4,23.4,81.7,9.7,24.5,23.4,Soybean
Saline,179,28.5,19.1,66,11.9,18.1,23.8,Rice
Peaty,188.9,29.2,20.4,40.7,11.3,28.8,24.8,Rice
Black,135.2,20.4,12.5,52.4,7.9,12.3,16.4,Wheat
Laterite,292.3,20.3,23.2,81.7,7.9,3.6,21.8,Rice
Laterite,156.3,30.4,20.8,83.2,9,23.9,25.6,Rice
Alluvial,121.8,33.9,20,66.2,4.9,21.8,27,Wheat
Sandy,184.2,38.8,24.4,71.3,8.9,16.8,31.6,Bajra
Loamy,54.8,23.6,12.3,22.8,7.7,11.1,18,Groundnut
Clayey,303.7,22.1,17.2,62.3,9.1,7.3,19.6,Soybean
Red,24.8,21,23.2,68.2,8.5,15.5,22.1,Barley
Alluvial,264.9,28.7,20.8,21.4,6.5,20.7,24.8,Wheat
Sandy,89.5,32.5,16.3,79.1,8.9,18.2,24.4,Rice
Laterite,108.3,36.8,6.5,85,6.9,14.2,21.6,Barley
Saline,261.5,33.7,18.1,36.7,5.6,17.1,25.9,Sugarcane
Red,397.3,24.2,15.5,79.2,9.4,5,19.8,Barley
Sandy,315.5,29.2,8.7,66.6,6.5,21.5,19,Tur
Sandy,105.8,38.2,22.6,60.6,11.1,22.6,30.4,Bajra
Alluvial,86.9,26.5,11.9,79,5.6,2.3,19.2,Barley
Red,349.2,30,12.7,40,8.8,9.6,21.4,Chana
Calcareous,188.8,39.2,18.4,75.4,8.6,4.6,28.8,Mustard
Loamy,72.1,34.7,14.8,42,5.6,30,24.8,Wheat
Calcareous,347.6,35,6.8,75.1,7.5,18.6,20.9,Chana
Red,330.1,25,12.7,51.6,9.4,15,18.8,Cotton
Calcareous,393.9,28.3,6.9,28.2,6.5,15,17.6,Bajra
Black,365.7,21.6,8.8,46.7,4.9,29,15.2,Tur
Laterite,343.7,32.1,5.1,36.3,8.9,20.5,18.6,Bajra
Black,40,22.1,8.6,27,5.8,6.7,15.4,Groundnut
Peaty,59.7,36.7,11.6,27.7,9.5,14.5,24.2,Rice
Calcareous,236.2,36.3,15.8,74.6,10.7,23.7,26,Chana
Peaty,222,30.7,23.4,81.7,5,13.9,27,Chana
Saline,194,22.8,15.8,84.9,7.5,10.7,19.3,Barley
Clayey,170.8,20.5,19.1,79.8,7.6,29.8,19.8,Rice
Saline,183.9,35.9,12.2,78.1,9.1,28.2,24,Sugarcane
Red,236.3,32,20,24.8,6.7,28.4,26,Groundnut
Sandy,20.8,34.2,17.4,75.3,7.3,5.7,25.8,Soybean
Laterite,119.1,26.1,14.2,74.8,4.1,8.6,20.2,Sugarcane
Calcareous,216.9,30.2,8.9,29.2,5,14.4,19.6,Barley
Alluvial,294.4,34.9,11.1,66.3,8.6,25.3,23,Wheat
Clayey,86.2,29.3,17.4,51.7,5.7,22.6,23.4,Soybean
Loamy,227.8,32,13.5,83,5.2,25.8,22.8,Maize
Loamy,291.5,35.8,22.8,68.7,6.6,27.8,29.3,Wheat
Loamy,189,24.3,9.7,86.6,5.3,23.9,17,Mustard
Calcareous,30.3,21.3,6.5,27.3,4.5,9.3,13.9,Groundnut
Loamy,190.7,30.6,16.8,22.8,6.3,10,23.7,Maize
Black,132.6,21.2,22.7,88.2,5.3,11.9,22,Bajra
Clayey,373.3,35.3,12.3,25.6,10.4,10.5,23.8,Maize
Black,67.4,34.4,18,47,4.5,9,26.2,Cotton
Sandy,267.9,37.6,9.6,65.5,10,23.1,23.6,Soybean
Clayey,40,32.8,16.2,81.6,7.1,3,24.5,Maize
Black,189.5,21.3,20.7,37.8,9.4,22.4,21,Tur
Clayey,230.5,25.1,22.3,22,4.4,25.1,23.7,Bajra
Sandy,133.2,36.2,7.1,56.5,11.4,3.8,21.7,Cotton
Peaty,192.9,23.3,12.1,53,10.1,3.7,17.7,Chana
Calcareous,82.2,34,17.8,41.5,5.1,10,25.9,Sugarcane
Calcareous,135.6,35.6,5.7,81.2,5.8,7.8,20.7,Soybean
Loamy,256,26.6,18.8,72.5,9.2,18.3,22.7,Groundnut
Saline,134.7,26.4,15.6,80.1,11.4,20.9,21,Mustard
Loamy,361.9,31.2,10.8,31.3,7.6,19.8,21,Wheat
Red,258.8,37.2,21.3,68.5,7.9,12,29.2,Soybean
Black,186.7,24.5,10.8,88.3,5.9,16,17.6,Sugarcane
Clayey,34.7,38.8,24.8,62.8,7.1,19.9,31.8,Bajra
Saline,209.8,32,21.3,32,6.3,5.3,26.6,Mustard
Sandy,310.6,39.8,19.2,89.7,6.8,8.4,29.5,Chana
Red,120.9,21.8,6.2,57,4.2,26.9,14,Bajra
Sandy,326.6,22.5,23.1,78.8,4.3,11.6,22.8,Barley
Calcareous,115.7,36.5,20.8,30.5,9.4,24.4,28.6,Barley
Calcareous,333,37.3,9.6,66.6,9.5,9,23.4,Bajra
Loamy,52.4,28.9,12.8,83.9,6.6,3.2,20.8,Bajra
Black,349.1,34.3,10.4,57.2,11.1,16,22.3,Rice
Saline,209.7,37.4,24.7,40.2,6.1,27,31,Rice
Laterite,132.7,20.9,22.1,28.9,7.2,24.9,21.5,Tur
Red,120.7,31.5,23.6,40.7,9.9,9.1,27.6,Groundnut
Red,184.2,37.1,20.8,44.8,9.9,27.5,29,Groundnut
Loamy,399.6,28,14.1,69.7,10.9,15.4,21,Wheat
Calcareous,103.7,26,9.1,32.5,4.2,3.4,17.6,Mustard
Loamy,59.2,35.9,9.2,27.4,5.5,2.8,22.5,Wheat
Clayey,242.3,26.7,8,47.1,9.1,15.6,17.4,Bajra
Saline,205.6,20.1,15.9,52.1,6.7,17.3,18,Maize
Black,219.2,39.2,23.4,64,4.3,4.2,31.3,Cotton
Peaty,273.4,31.8,24.8,69.5,8.7,27.8,28.3,Groundnut
Alluvial,121.5,36.4,10.7,82.2,7.1,22.1,23.5,Wheat
Alluvial,366.1,36.5,18.9,40.2,6.9,24.4,27.7,Wheat
Loamy,185.6,21.3,16.9,57,6.1,18.4,19.1,Barley
Clayey,69.1,23.4,14.8,45.6,4,20.6,19.1,Mustard
Saline,302.1,26.2,18.3,20.1,5.5,12.9,22.2,Cotton
Laterite,264.4,26.4,12.4,60.6,7.8,21,19.4,Rice
Alluvial,140,33.2,23.9,77.1,6.2,29.4,28.6,Wheat
Saline,256.2,32.5,19.1,22.6,11,20.1,25.8,Tur
Black,103.5,29.9,20.1,20.2,5.1,11.6,25,Maize
Sandy,189,24.2,9.8,70.9,11,10,17,Chana
Clayey,361.8,27.6,8.4,67.9,7.2,29,18,Barley
Calcareous,70.7,30.9,12.9,48.4,6.2,7.2,21.9,Sesame
Saline,166.9,29.4,20.3,66.3,6.4,24.6,24.8,Bajra
Black,332,22.5,23.8,86.7,6.6,15,23.2,Mustard
Laterite,388.4,33,13.5,37.4,8.1,14.4,23.2,Rice
Peaty,192.5,21.5,20.5,37.2,6.8,22.9,21,Bajra
Calcareous,212.7,27.6,14.4,33,9.2,6.1,21,Soybean
Peaty,237.4,34.2,10.9,70.7,7.4,15.1,22.6,Maize
Laterite,374.3,20.4,19.8,44.7,9.4,3,20.1,Sesame
Black,346.1,31.4,21,89.2,8.8,20.8,26.2,Cotton
Alluvial,84.8,26.7,9.1,70,6,3.6,17.9,Groundnut
Peaty,186,20.2,11.1,45.7,10.5,4.4,15.6,Groundnut
Calcareous,196.3,23.8,14.9,30.4,10.4,25.7,19.4,Soybean
Loamy,319.9,38.8,8.7,61.4,11.9,14.4,23.8,Chana
Red,249.1,30.4,23.6,40.6,5.4,7.6,27,Groundnut
Saline,268.6,39.9,16.8,83.4,10.8,18.6,28.4,Groundnut
Alluvial,399.3,30.5,7.4,50.9,11,16.5,19,Tur
Peaty,48.5,30.9,8.7,40.5,9.1,13.5,19.8,Cotton
Sandy,104.7,27.8,24.1,61.2,8.1,27.4,26,Rice
Saline,175,26.2,19.8,29.6,11.7,23,23,Rice
Loamy,152.2,25,19.7,59.3,11.8,6.2,22.4,Maize
Laterite,28.2,26.9,6.4,23.9,9.1,18,16.6,Tur
Red,54.9,29.2,22.9,62.5,6.9,4.5,26,Sugarcane
Black,278.8,23.8,13.9,57.1,10.5,8.9,18.8,Wheat
Loamy,354.1,24.5,18.2,56.5,4.7,27.5,21.4,Soybean
Loamy,215.4,25.4,24.2,67.9,6.3,14.9,24.8,Maize
Laterite,224.9,29,7,23.1,11.9,27,18,Tur
Clayey,116.9,33.1,14.6,52.2,10.5,6.6,23.8,Soybean
Laterite,311.8,37.1,6,51.1,11.5,7.7,21.6,Tur
Clayey,305.7,25.7,15,52.2,8.8,11.9,20.4,Chana
Clayey,243.6,23.7,10,88.6,7.3,12.3,16.8,Groundnut
Alluvial,100.8,27.6,23.2,29.7,11.8,22.9,25.4,Wheat
Alluvial,56.9,37.9,13,68.3,6.5,18.8,25.4,Cotton
Calcareous,44.4,20.2,17.7,48.1,10.1,17.5,19,Soybean
Peaty,245.2,33.6,22.2,55.8,8.5,18.9,27.9,Rice
Peaty,333.5,29.5,24.7,73.4,5.8,22.5,27.1,Bajra
Black,346.2,23.2,15.1,31,4.1,27,19.2,Groundnut
Peaty,196.2,26.4,14.1,73.5,7.1,13.6,20.2,Rice
Alluvial,318,24.5,6.5,24.9,8.4,24.5,15.5,Groundnut
Calcareous,379.8,37.6,5.3,53.8,5.5,15.9,21.4,Mustard
Calcareous,124.6,29.6,17.2,71.9,7.3,22.2,23.4,Cotton
Clayey,171.2,31.3,6.3,33.5,8.9,26.5,18.8,Bajra
Laterite,374,31.9,12.6,74,9.7,2.9,22.2,Groundnut
Black,148.5,32.8,5.1,31.7,4.4,17.3,19,Wheat
Clayey,367.3,29.9,17.3,75.9,9.3,29.7,23.6,Bajra
Laterite,392.8,20.4,13.5,52.8,4.5,15.9,17,Sugarcane
Peaty,271.5,26.7,7.5,67.9,4.2,26.2,17.1,Rice
Clayey,330.4,23.7,10.9,84.2,5.2,7.2,17.3,Chana
Saline,304.8,33.6,16.4,48.6,9.2,18.9,25,Bajra
Peaty,285.8,21.1,18.1,36.3,4.4,26.4,19.6,Sugarcane
Laterite,136.6,31.3,14.2,80.7,4.2,14.1,22.8,Mustard
Black,41.7,24.2,21.1,31.3,4.9,15.6,22.6,Soybean
Laterite,150.4,39,7.2,64.2,11.6,4.3,23.1,Rice
Clayey,273.4,26.7,6.7,84.6,11.3,3.2,16.7,Mustard
Clayey,59,26.5,5.9,67.2,4.7,15.1,16.2,Barley
Loamy,24.5,38.5,15.7,33.7,6.4,25.6,27.1,Wheat
Black,73.1,28.3,19.1,30.7,11.6,28.1,23.7,Wheat
Sandy,292,39.3,7.6,37.7,4.8,20.4,23.4,Chana
Peaty,389.7,20.5,17.8,47.4,4.8,25.1,19.2,Soybean
Calcareous,393.6,26.1,14.5,31.1,4.7,22.6,20.3,Bajra
Black,207.7,33.3,24.7,75.8,11.8,21.6,29,Cotton
Calcareous,350.4,37.8,19.3,45,9.9,23.5,28.6,Groundnut
Black,300,25.1,18.1,85.5,5.7,16.1,21.6,Groundnut
Black,210.4,38.6,16.4,79,4.4,14.8,27.5,Cotton
Laterite,237.6,31.9,24.9,83.6,11.7,6.5,28.4,Rice
Black,72.1,36,24.6,40.6,7.4,25.6,30.3,Barley
Loamy,376.3,27.9,15.8,60.2,8.8,3.2,21.8,Wheat
Sandy,153.7,24.2,14.1,42.5,6.2,9.5,19.2,Cotton
Clayey,189.5,38.2,14.2,38,10.1,16.6,26.2,Sesame
Red,275.2,38.7,13.6,62.5,5.6,29.2,26.2,Maize
Calcareous,146.9,30,15.6,77.3,10.3,24,22.8,Sesame
Clayey,116.6,20.1,10.5,26.6,5.8,12.3,15.3,Sesame
Red,259.8,22.2,23.5,39.3,4.8,22,22.8,Chana
Sandy,29.5,31.5,14.8,34.4,7.8,28.1,23.2,Chana
Sandy,293.9,20.5,21.8,75.9,10.5,17.1,21.2,Bajra
